method,K,fold_id,accuracy,precision,recall,f1,auroc
mutual_information,50,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
mutual_information,50,1,1.0,1.0,1.0,1.0,1.0
mutual_information,50,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667
mutual_information,50,3,1.0,1.0,1.0,1.0,1.0
mutual_information,50,4,1.0,1.0,1.0,1.0,1.0
t_test,4,0,1.0,1.0,1.0,1.0,1.0
t_test,4,1,1.0,1.0,1.0,1.0,1.0
t_test,4,2,0.75,0.8,0.8,0.8,0.8666666666666667
t_test,4,3,0.8571428571428571,1.0,0.8,0.8888888888888888,0.9
t_test,4,4,1.0,1.0,1.0,1.0,1.0
t_test,8,0,1.0,1.0,1.0,1.0,1.0
t_test,8,1,1.0,1.0,1.0,1.0,1.0
t_test,8,2,0.75,0.8,0.8,0.8,0.8
t_test,8,3,1.0,1.0,1.0,1.0,1.0
t_test,8,4,0.8571428571428571,1.0,0.8,0.8888888888888888,1.0
t_test,16,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
t_test,16,1,1.0,1.0,1.0,1.0,1.0
t_test,16,2,0.625,0.6666666666666666,0.8,0.7272727272727273,0.6666666666666667
t_test,16,3,1.0,1.0,1.0,1.0,1.0
t_test,16,4,1.0,1.0,1.0,1.0,1.0
t_test,24,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
t_test,24,1,1.0,1.0,1.0,1.0,1.0
t_test,24,2,0.75,0.8,0.8,0.8,0.8666666666666667
t_test,24,3,1.0,1.0,1.0,1.0,1.0
t_test,24,4,1.0,1.0,1.0,1.0,1.0
t_test,32,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
t_test,32,1,1.0,1.0,1.0,1.0,1.0
t_test,32,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.8666666666666667
t_test,32,3,1.0,1.0,1.0,1.0,1.0
t_test,32,4,1.0,1.0,1.0,1.0,1.0
t_test,50,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.8333333333333334
t_test,50,1,1.0,1.0,1.0,1.0,1.0
t_test,50,2,0.75,0.8,0.8,0.8,0.8666666666666667
t_test,50,3,1.0,1.0,1.0,1.0,1.0
t_test,50,4,1.0,1.0,1.0,1.0,1.0
ensemble_voting,4,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
ensemble_voting,4,1,1.0,1.0,1.0,1.0,1.0
ensemble_voting,4,2,0.875,0.8333333333333334,1.0,0.9090909090909091,0.7333333333333334
ensemble_voting,4,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
ensemble_voting,4,4,1.0,1.0,1.0,1.0,1.0
ensemble_voting,8,0,0.875,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667
ensemble_voting,8,1,1.0,1.0,1.0,1.0,1.0
ensemble_voting,8,2,0.75,0.8,0.8,0.8,0.8
ensemble_voting,8,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
ensemble_voting,8,4,1.0,1.0,1.0,1.0,1.0
ensemble_voting,16,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
ensemble_voting,16,1,1.0,1.0,1.0,1.0,1.0
ensemble_voting,16,2,0.75,0.8,0.8,0.8,0.8
ensemble_voting,16,3,0.8571428571428571,0.8333333333333334,1.0,0.9090909090909091,1.0
ensemble_voting,16,4,1.0,1.0,1.0,1.0,1.0
ensemble_voting,24,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
ensemble_voting,24,1,1.0,1.0,1.0,1.0,1.0
ensemble_voting,24,2,0.75,0.8,0.8,0.8,0.8
ensemble_voting,24,3,1.0,1.0,1.0,1.0,1.0
ensemble_voting,24,4,1.0,1.0,1.0,1.0,1.0
ensemble_voting,32,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
ensemble_voting,32,1,1.0,1.0,1.0,1.0,1.0
ensemble_voting,32,2,0.75,0.8,0.8,0.8,0.9333333333333333
ensemble_voting,32,3,1.0,1.0,1.0,1.0,1.0
ensemble_voting,32,4,1.0,1.0,1.0,1.0,1.0
ensemble_voting,50,0,0.875,1.0,0.8333333333333334,0.9090909090909091,1.0
ensemble_voting,50,1,1.0,1.0,1.0,1.0,1.0
ensemble_voting,50,2,0.75,0.8,0.8,0.8,0.9333333333333333
ensemble_voting,50,3,1.0,1.0,1.0,1.0,1.0
ensemble_voting,50,4,1.0,1.0,1.0,1.0,1.0
