k,feature_selection,patient_balance,gene_balance,angle_encoding,angle_reps,n_qubits,circuit_depth,test_acc,test_auroc,test_f1,ind_acc,ind_auroc,ind_f1
8,snr,balanced,topk,bps_circuit,1,8,10,1.0,1.0,1.0,0.8235294117647058,0.9785714285714285,0.8125
8,snr,all,balanced,simple_ry,1,8,1,0.8333333333333334,1.0,0.5,0.7352941176470589,0.9249999999999999,0.5263157894736842
8,snr,all,balanced,zz_feature_map,2,8,46,0.75,0.7777777777777778,0.0,0.5882352941176471,0.5392857142857143,0.0
8,snr,all,balanced,bps_circuit,1,8,10,0.9166666666666666,1.0,0.8,0.7352941176470589,0.9285714285714286,0.5263157894736842
8,snr,all,topk,simple_ry,1,8,1,0.9166666666666666,1.0,0.8571428571428571,0.9411764705882353,0.9535714285714286,0.9230769230769231
8,snr,all,topk,zz_feature_map,2,8,46,0.75,0.4074074074074074,0.0,0.5882352941176471,0.5107142857142857,0.0
8,snr,all,topk,bps_circuit,1,8,10,1.0,1.0,1.0,0.9411764705882353,0.9428571428571428,0.9285714285714286
16,anova,balanced,balanced,simple_ry,1,16,1,1.0,1.0,1.0,0.5,0.6178571428571429,0.6222222222222222
16,anova,balanced,balanced,zz_feature_map,2,16,94,0.42857142857142855,1.0,0.6,0.4117647058823529,0.5785714285714285,0.5833333333333334
16,anova,balanced,balanced,bps_circuit,1,16,18,0.8571428571428571,1.0,0.8571428571428571,0.47058823529411764,0.6035714285714285,0.6086956521739131
16,anova,balanced,topk,simple_ry,1,16,1,0.5714285714285714,1.0,0.0,0.7058823529411765,0.9607142857142857,0.4444444444444444
16,anova,balanced,topk,zz_feature_map,2,16,94,0.42857142857142855,1.0,0.6,0.4117647058823529,0.6892857142857143,0.5833333333333334
16,anova,balanced,topk,bps_circuit,1,16,18,0.7142857142857143,1.0,0.5,0.7647058823529411,1.0,0.6
16,anova,all,balanced,simple_ry,1,16,1,0.75,1.0,0.0,0.5882352941176471,0.8821428571428572,0.125
16,anova,all,balanced,zz_feature_map,2,16,94,0.75,0.5925925925925926,0.0,0.5882352941176471,0.7107142857142857,0.0
16,anova,all,balanced,bps_circuit,1,16,18,0.75,0.9259259259259258,0.0,0.5882352941176471,0.817857142857143,0.0
16,anova,all,topk,simple_ry,1,16,1,1.0,1.0,1.0,0.9705882352941176,0.9392857142857143,0.9629629629629629
16,anova,all,topk,zz_feature_map,2,16,94,0.75,0.8148148148148149,0.0,0.5882352941176471,0.5035714285714286,0.0
16,anova,all,topk,bps_circuit,1,16,18,1.0,1.0,1.0,0.9411764705882353,0.9464285714285714,0.9230769230769231
16,snr,balanced,balanced,simple_ry,1,16,1,1.0,1.0,1.0,0.8235294117647058,0.9750000000000001,0.8125
